City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Namatanai,PG,2021-07-20 23:08:41,-3.6667,152.4333,82.04,74,100,4.65,overcast clouds
80,Nioro,GM,2021-07-20 23:08:41,13.35,-15.75,80.96,84,100,8.52,overcast clouds
81,Kyra,RU,2021-07-20 23:08:42,49.5776,111.9753,67.1,96,100,3.42,overcast clouds
82,Soe,ID,2021-07-20 23:08:42,-9.8607,124.284,65.7,87,20,4.43,few clouds
83,Faanui,PF,2021-07-20 23:08:42,-16.4833,-151.75,78.6,77,18,21.05,light rain
84,Caravelas,BR,2021-07-20 23:08:43,-17.7125,-39.2481,71.29,68,100,11.27,overcast clouds
85,Port Elizabeth,ZA,2021-07-20 23:04:33,-33.918,25.5701,51.1,78,100,17.67,light rain
86,Tuktoyaktuk,CA,2021-07-20 23:08:30,69.4541,-133.0374,67.93,46,8,16.22,clear sky
87,Barrow,US,2021-07-20 23:08:18,71.2906,-156.7887,37.42,93,90,17.27,haze
88,Suvorov,RU,2021-07-20 23:08:43,54.1223,36.4966,57.31,70,60,2.33,broken clouds
89,Santa Cruz,BO,2021-07-20 23:04:15,-17.8,-63.1667,63.7,25,94,2.89,overcast clouds
90,Lorengau,PG,2021-07-20 23:08:44,-2.0226,147.2712,81.95,75,100,2.15,overcast clouds
91,Meulaboh,ID,2021-07-20 23:08:44,4.1363,96.1285,75.87,87,100,3.2,light rain
92,Luwuk,ID,2021-07-20 23:08:44,-0.9516,122.7875,76.73,90,71,4.12,broken clouds
93,Hobart,AU,2021-07-20 23:07:41,-42.8794,147.3294,47.91,79,40,3.0,scattered clouds
94,Vila Franca Do Campo,PT,2021-07-20 23:07:51,37.7167,-25.4333,68.41,91,99,10.16,overcast clouds
95,Guerrero Negro,MX,2021-07-20 23:08:12,27.9769,-114.0611,76.84,62,23,20.07,few clouds
96,Lasa,IT,2021-07-20 23:08:45,46.6166,10.7002,64.02,76,1,3.44,clear sky
97,Coquimbo,CL,2021-07-20 23:08:45,-29.9533,-71.3436,51.53,93,40,4.61,scattered clouds
98,San Patricio,US,2021-07-20 23:08:45,28.017,-97.5169,92.53,63,91,4.56,overcast clouds
99,Matagami,CA,2021-07-20 23:08:46,49.7502,-77.6328,66.69,41,25,8.9,scattered clouds
100,Langenburg,DE,2021-07-20 23:08:46,49.2544,9.8458,60.93,79,0,3.44,clear sky
101,Marawi,PH,2021-07-20 23:08:46,7.9986,124.2928,70.65,80,79,4.38,light rain
102,Nanakuli,US,2021-07-20 23:03:54,21.3906,-158.1547,84.11,65,90,10.36,overcast clouds
103,Geraldton,AU,2021-07-20 23:08:47,-28.7667,114.6,64.81,77,75,19.57,broken clouds
104,Acari,PE,2021-07-20 23:08:47,-15.4311,-74.6158,68.36,66,0,2.89,clear sky
105,Saint George,US,2021-07-20 23:05:28,37.1041,-113.5841,100.63,28,1,5.99,clear sky
106,Hamilton,US,2021-07-20 23:08:48,39.1834,-84.5333,84.67,61,40,1.01,scattered clouds
107,East London,ZA,2021-07-20 23:04:51,-33.0153,27.9116,56.35,72,100,23.0,light rain
108,Puerto Ayora,EC,2021-07-20 23:07:44,-0.7393,-90.3518,71.55,97,90,7.0,light rain
109,Najran,SA,2021-07-20 23:07:41,17.4924,44.1277,79.41,61,100,2.46,overcast clouds
110,Ust-Nera,RU,2021-07-20 23:08:17,64.5667,143.2,72.39,60,90,2.95,overcast clouds
111,Lindi,TZ,2021-07-20 23:08:48,-10.0,39.7167,67.66,97,1,4.47,clear sky
112,Pimentel,PE,2021-07-20 23:08:49,-6.8367,-79.9342,68.29,83,0,4.0,clear sky
113,Sao Gabriel Da Cachoeira,BR,2021-07-20 23:05:09,-0.1303,-67.0892,72.59,99,96,1.9,overcast clouds
114,Kushima,JP,2021-07-20 23:08:49,31.4583,131.2333,81.91,83,100,14.7,overcast clouds
115,Beian,NO,2021-07-20 23:08:49,63.6559,9.5683,51.57,93,75,11.5,broken clouds
116,Ornskoldsvik,SE,2021-07-20 23:08:50,63.2909,18.7153,51.62,71,3,12.66,clear sky
117,Sayyan,YE,2021-07-20 23:08:50,15.1718,44.3244,61.41,77,100,1.86,overcast clouds
118,Changli,CN,2021-07-20 23:08:50,39.7042,119.1506,75.07,91,100,2.06,moderate rain
119,Khatanga,RU,2021-07-20 23:08:51,71.9667,102.5,57.83,75,100,8.32,overcast clouds
120,Terrak,NO,2021-07-20 23:08:51,65.087,12.3715,49.87,89,100,6.78,overcast clouds
121,Deputatskiy,RU,2021-07-20 23:08:51,69.3,139.9,52.95,73,98,12.21,overcast clouds
122,Ponnani,IN,2021-07-20 23:08:52,10.767,75.9252,74.52,85,57,6.6,heavy intensity rain
123,Puerto Escondido,MX,2021-07-20 23:08:52,15.85,-97.0667,86.83,66,40,4.61,scattered clouds
124,Chiredzi,ZW,2021-07-20 23:08:52,-21.05,31.6667,58.62,56,1,2.37,clear sky
125,Touros,BR,2021-07-20 23:05:16,-5.1989,-35.4608,76.1,76,7,14.7,clear sky
126,Cidreira,BR,2021-07-20 23:08:05,-30.1811,-50.2056,52.52,70,25,6.58,scattered clouds
127,Port Macquarie,AU,2021-07-20 23:07:46,-31.4333,152.9167,56.89,68,53,17.9,broken clouds
128,Birjand,IR,2021-07-20 23:08:53,32.8663,59.2211,72.88,27,0,14.03,clear sky
129,Wuwei,CN,2021-07-20 23:08:53,37.9281,102.6414,72.72,45,94,12.75,overcast clouds
130,Ostrovnoy,RU,2021-07-20 23:08:54,68.0531,39.5131,46.26,89,96,6.71,overcast clouds
131,Macomb,US,2021-07-20 23:04:51,40.4592,-90.6718,84.45,69,1,3.44,clear sky
132,Northam,GB,2021-07-20 23:08:54,51.0333,-4.2167,70.48,89,17,1.16,few clouds
133,Ust-Tsilma,RU,2021-07-20 23:04:20,65.441,52.1498,55.36,66,91,4.23,overcast clouds
134,Moctezuma,MX,2021-07-20 23:04:42,29.8,-109.6667,81.12,61,85,17.58,overcast clouds
135,Pontiac,US,2021-07-20 23:08:55,42.6389,-83.2911,85.21,66,90,16.11,thunderstorm
136,Kapustin Yar,RU,2021-07-20 23:08:55,48.5831,45.7372,82.94,40,57,9.13,broken clouds
137,Tiznit,MA,2021-07-20 23:08:56,29.5833,-9.5,73.54,54,0,2.71,clear sky
138,Bastia,FR,2021-07-20 23:08:56,42.6667,9.3333,76.3,76,0,3.44,clear sky
139,Garowe,SO,2021-07-20 23:05:13,8.4054,48.4845,76.86,52,65,22.35,broken clouds
140,Fare,PF,2021-07-20 23:06:03,-16.7,-151.0167,78.37,77,13,22.7,light rain
141,Yenagoa,NG,2021-07-20 23:08:56,4.9247,6.2642,74.28,86,61,3.83,broken clouds
142,Chuy,UY,2021-07-20 23:07:21,-33.6971,-53.4616,46.42,81,7,8.5,clear sky
143,Xunchang,CN,2021-07-20 23:08:57,28.4543,104.715,72.75,95,14,3.27,light rain
144,Saskylakh,RU,2021-07-20 23:08:57,71.9167,114.0833,52.68,92,100,6.06,light rain
145,Upernavik,GL,2021-07-20 23:04:24,72.7868,-56.1549,41.31,86,100,4.45,overcast clouds
146,Viedma,AR,2021-07-20 23:07:41,-40.8135,-62.9967,50.23,64,12,4.7,few clouds
147,Isangel,VU,2021-07-20 23:08:02,-19.55,169.2667,82.51,78,75,5.75,broken clouds
148,Livno,BA,2021-07-20 23:08:58,43.8269,17.0078,68.5,75,0,6.85,clear sky
149,Wagar,SD,2021-07-20 23:08:58,16.1525,36.2032,77.16,78,100,10.78,overcast clouds
150,Tugulym,RU,2021-07-20 23:08:59,57.0591,64.6425,64.47,88,47,6.64,scattered clouds
151,Winneba,GH,2021-07-20 23:08:59,5.3511,-0.6231,74.55,86,8,9.75,clear sky
152,San Cristobal,VE,2021-07-20 23:08:59,7.7669,-72.225,71.58,76,6,5.12,clear sky
153,Petropavlovsk-Kamchatskiy,RU,2021-07-20 23:08:59,53.0452,158.6483,66.79,68,0,2.24,clear sky
154,Bandarbeyla,SO,2021-07-20 23:09:00,9.4942,50.8122,76.01,81,54,29.21,broken clouds
155,Avera,US,2021-07-20 23:09:00,33.194,-82.5271,76.66,83,99,5.17,light rain
156,Airai,TL,2021-07-20 23:09:00,-8.9266,125.4092,59.02,80,38,3.89,scattered clouds
157,Muleba,TZ,2021-07-20 23:09:01,-1.8397,31.6544,69.28,57,12,4.61,few clouds
158,Kidal,ML,2021-07-20 23:09:01,18.4411,1.4078,92.34,30,47,9.15,scattered clouds
159,Akonolinga,CM,2021-07-20 23:09:01,3.7667,12.25,69.21,94,99,3.56,overcast clouds
160,Plover,US,2021-07-20 23:09:02,44.4564,-89.544,82.15,66,40,10.0,haze
161,Katobu,ID,2021-07-20 23:09:02,-4.9408,122.5276,72.79,98,100,2.17,light rain
162,Kalengwa,ZM,2021-07-20 23:09:02,-13.4659,25.0027,53.38,49,7,4.7,clear sky
163,Umm Kaddadah,SD,2021-07-20 23:09:03,13.6017,26.6876,83.7,52,100,13.11,overcast clouds
164,Tiksi,RU,2021-07-20 23:09:03,71.6872,128.8694,46.56,72,36,4.7,scattered clouds
165,Jalingo,NG,2021-07-20 23:08:11,8.8833,11.3667,74.23,92,93,3.47,light rain
166,La Ronge,CA,2021-07-20 23:06:10,55.1001,-105.2842,74.19,39,18,6.67,few clouds
167,Oksfjord,NO,2021-07-20 23:08:18,70.2396,22.3479,46.47,95,100,23.35,light rain
168,Pangody,RU,2021-07-20 23:08:54,65.85,74.4859,62.28,61,66,15.79,broken clouds
169,Klaksvik,FO,2021-07-20 23:09:04,62.2266,-6.589,50.92,94,68,6.76,broken clouds
170,Coahuayana,MX,2021-07-20 23:08:50,18.7333,-103.6833,92.68,63,65,5.61,broken clouds
171,Jardim,BR,2021-07-20 23:04:53,-21.4803,-56.1381,60.93,25,59,4.0,broken clouds
172,Mount Isa,AU,2021-07-20 23:09:04,-20.7333,139.5,56.97,44,60,1.14,broken clouds
173,Sao Felix Do Xingu,BR,2021-07-20 23:09:05,-6.6447,-51.995,78.67,41,5,0.81,clear sky
174,Voyvozh,RU,2021-07-20 23:09:05,62.892,54.9635,53.28,79,74,3.29,broken clouds
175,Tomatlan,MX,2021-07-20 23:09:05,19.9333,-105.25,89.04,63,13,8.25,few clouds
176,Beneditinos,BR,2021-07-20 23:09:05,-5.45,-42.3667,83.53,41,92,3.91,overcast clouds
177,Srednekolymsk,RU,2021-07-20 23:09:06,67.45,153.6833,69.33,61,61,12.84,broken clouds
178,Yeppoon,AU,2021-07-20 23:09:06,-23.1333,150.7333,55.18,43,0,8.12,clear sky
179,Mishan,CN,2021-07-20 23:09:06,45.55,131.8833,75.47,90,100,1.34,overcast clouds
180,Broken Hill,AU,2021-07-20 23:07:36,-31.95,141.4333,40.91,67,57,8.19,broken clouds
181,Lompoc,US,2021-07-20 23:09:07,34.6391,-120.4579,95.13,73,1,12.66,clear sky
182,Faya,SA,2021-07-20 23:05:05,18.3851,42.4509,63.12,83,99,9.78,overcast clouds
183,Hilo,US,2021-07-20 23:07:46,19.7297,-155.09,80.33,77,75,6.91,light rain
184,Mar Del Plata,AR,2021-07-20 23:09:07,-38.0023,-57.5575,52.88,54,45,5.01,scattered clouds
185,Dwarka,IN,2021-07-20 23:06:08,22.2394,68.9678,82.87,84,97,27.02,overcast clouds
186,Nanortalik,GL,2021-07-20 23:09:08,60.1432,-45.2371,47.62,92,100,14.74,overcast clouds
187,Bredasdorp,ZA,2021-07-20 23:07:49,-34.5322,20.0403,42.28,87,21,9.13,few clouds
188,Urucara,BR,2021-07-20 23:09:08,-2.5364,-57.76,77.23,81,49,2.44,scattered clouds
189,Kuytun,RU,2021-07-20 23:09:09,54.3419,101.5036,60.03,82,100,0.31,overcast clouds
190,Mayenne,FR,2021-07-20 23:09:09,48.3333,-0.6667,71.04,84,10,6.15,clear sky
191,Vaitape,PF,2021-07-20 23:09:09,-16.5167,-151.75,78.58,77,18,21.03,light rain
192,Banda Aceh,ID,2021-07-20 23:09:10,5.5577,95.3222,79.81,78,100,14.99,overcast clouds
193,Valdosta,US,2021-07-20 23:09:10,30.8327,-83.2785,80.15,94,75,0.0,broken clouds
194,Vilyuysk,RU,2021-07-20 23:09:10,63.7553,121.6247,59.32,92,100,6.26,overcast clouds
195,Codrington,AU,2021-07-20 23:09:11,-38.2667,141.9667,49.64,82,100,8.79,overcast clouds
196,Kimberley,ZA,2021-07-20 23:09:11,-28.7323,24.7623,44.46,67,100,10.38,overcast clouds
197,Bosaso,SO,2021-07-20 23:09:11,11.2842,49.1816,90.23,41,42,21.54,scattered clouds
198,Acapulco,MX,2021-07-20 23:06:25,16.8634,-99.8901,85.82,74,75,9.22,broken clouds
199,Beringovskiy,RU,2021-07-20 23:09:12,63.05,179.3167,45.09,86,100,11.68,overcast clouds
200,Sakakah,SA,2021-07-20 23:09:12,29.9697,40.2064,94.35,16,8,7.83,clear sky
201,Pochutla,MX,2021-07-20 23:09:13,15.7432,-96.4661,90.82,64,58,4.88,broken clouds
202,Pemangkat,ID,2021-07-20 23:08:07,1.1667,108.9667,77.95,89,98,6.98,overcast clouds
203,Kieta,PG,2021-07-20 23:06:43,-6.2167,155.6333,83.21,70,90,2.37,light rain
204,Turan,VN,2021-07-20 23:07:23,16.0678,108.2208,82.45,69,20,3.44,few clouds
205,Morant Bay,JM,2021-07-20 23:09:13,17.8815,-76.4093,87.62,78,9,12.15,clear sky
206,Brokopondo,SR,2021-07-20 23:09:13,4.75,-55.1667,78.06,82,67,2.42,heavy intensity rain
207,Esperance,AU,2021-07-20 23:09:14,-33.8667,121.9,56.14,89,100,18.61,light rain
208,Merauke,ID,2021-07-20 23:09:14,-8.4667,140.3333,79.16,70,77,14.54,broken clouds
209,Whitehorse,CA,2021-07-20 23:04:36,60.7161,-135.0538,78.03,33,57,5.01,broken clouds
210,Kingisepp,RU,2021-07-20 23:09:14,59.3733,28.6134,53.04,97,50,3.83,scattered clouds
211,Praia,CV,2021-07-20 23:08:30,14.9215,-23.5087,77.54,78,75,8.05,broken clouds
212,Ponta Do Sol,PT,2021-07-20 23:09:15,32.6667,-17.1,72.72,81,1,3.62,clear sky
213,Hasaki,JP,2021-07-20 23:05:48,35.7333,140.8333,81.28,75,82,6.26,broken clouds
214,Yermakovskoye,RU,2021-07-20 23:09:15,53.2831,92.4003,58.69,96,53,1.43,broken clouds
215,La Palma,US,2021-07-20 23:04:56,33.8464,-118.0467,109.81,43,20,4.0,few clouds
216,Pevek,RU,2021-07-20 23:07:48,69.7008,170.3133,41.86,75,100,4.63,overcast clouds
217,Ishigaki,JP,2021-07-20 23:09:16,24.3448,124.1572,82.47,84,100,36.01,overcast clouds
218,Kargopol,RU,2021-07-20 23:09:16,61.5071,38.9456,53.94,74,63,5.7,broken clouds
