City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
86,Tuktoyaktuk,CA,67.93,clear sky,69.4541,-133.0374,End of The Road Ltd.
89,Santa Cruz,BO,63.7,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
91,Meulaboh,ID,75.87,light rain,4.1363,96.1285,Kost Pria
92,Luwuk,ID,76.73,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
94,Vila Franca Do Campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
95,Guerrero Negro,MX,76.84,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
96,Lasa,IT,64.02,clear sky,46.6166,10.7002,Pension Feldgärtenhof
99,Matagami,CA,66.69,scattered clouds,49.7502,-77.6328,Hôtel Matagami
100,Langenburg,DE,60.93,clear sky,49.2544,9.8458,Mawell Resort
101,Marawi,PH,70.65,light rain,7.9986,124.2928,Derogongan Residence
103,Geraldton,AU,64.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
104,Acari,PE,68.36,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
108,Puerto Ayora,EC,71.55,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
109,Najran,SA,79.41,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
110,Ust-Nera,RU,72.39,overcast clouds,64.5667,143.2,Hotel Ust-Nera
111,Lindi,TZ,67.66,clear sky,-10.0,39.7167,Lindi paradise house
112,Pimentel,PE,68.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
113,Sao Gabriel Da Cachoeira,BR,72.59,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
117,Sayyan,YE,61.41,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
118,Changli,CN,75.07,moderate rain,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
122,Ponnani,IN,74.52,heavy intensity rain,10.767,75.9252,Rouba Residency
125,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
128,Birjand,IR,72.88,clear sky,32.8663,59.2211,Birjand Tourist Hotel
129,Wuwei,CN,72.72,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
132,Northam,GB,70.48,few clouds,51.0333,-4.2167,Durrant House Hotel
138,Bastia,FR,76.3,clear sky,42.6667,9.3333,Hotel Santa Maria
139,Garowe,SO,76.86,broken clouds,8.4054,48.4845,Curubo Hotel
140,Fare,PF,78.37,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
141,Yenagoa,NG,74.28,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
