City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Karratha,AU,2021-07-17 21:16:42,-20.7377,116.8463,65.3,26,23,7.65
91,Arraial Do Cabo,BR,2021-07-17 21:14:58,-22.9661,-42.0278,69.66,88,20,5.75
92,Viedma,AR,2021-07-17 21:17:01,-40.8135,-62.9967,46.45,76,47,26.11
93,Maniitsoq,GL,2021-07-17 21:16:00,65.4167,-52.9,46.53,92,83,7.18
94,Puerto Leguizamo,CO,2021-07-17 21:17:02,-0.1934,-74.7819,81.61,83,67,0.67
95,Srandakan,ID,2021-07-17 21:17:02,-7.9386,110.2506,73.45,89,31,4.85
96,Kathu,TH,2021-07-17 21:17:03,7.9178,98.3332,86.7,86,8,7.43
97,Cochabamba,BO,2021-07-17 21:17:03,-17.3895,-66.1568,78.55,13,20,8.05
98,Cherskiy,RU,2021-07-17 21:17:03,68.75,161.3,46.56,87,100,20.87
99,Ha Giang,VN,2021-07-17 21:17:04,22.8333,104.9833,76.86,99,100,0.6
100,Lompoc,US,2021-07-17 21:17:04,34.6391,-120.4579,93.02,68,1,14.97
101,Casimiro De Abreu,BR,2021-07-17 21:17:04,-22.4806,-42.2042,71.51,92,8,2.35
102,Dera Ismail Khan,PK,2021-07-17 21:17:05,31.8327,70.9024,100.6,39,60,9.69
103,Waterloo,CA,2021-07-17 21:13:46,43.4668,-80.5164,72.59,78,100,7.0
104,Klaksvik,FO,2021-07-17 21:17:05,62.2266,-6.589,49.12,89,8,13.09
105,Ahuimanu,US,2021-07-17 21:17:06,21.4447,-157.8378,83.91,63,1,14.97
106,Manokwari,ID,2021-07-17 21:17:06,-0.8667,134.0833,75.63,93,100,7.85
107,Dingle,PH,2021-07-17 21:17:06,10.9995,122.6711,77.0,89,79,8.97
108,Lorengau,PG,2021-07-17 21:17:07,-2.0226,147.2712,81.36,76,99,4.88
109,Oranjemund,NA,2021-07-17 21:17:07,-28.55,16.4333,58.95,53,0,6.67
110,Mala,PE,2021-07-17 21:17:07,-12.6581,-76.6308,66.07,78,12,5.26
111,Puerto Del Rosario,ES,2021-07-17 21:17:08,28.5004,-13.8627,74.95,78,0,9.22
112,Mecca,SA,2021-07-17 21:12:43,21.4267,39.8261,87.82,22,100,2.62
113,Mabaruma,GY,2021-07-17 21:17:08,8.2,-59.7833,81.64,77,25,5.59
114,Mar Del Plata,AR,2021-07-17 21:14:08,-38.0023,-57.5575,48.99,62,75,14.0
115,Elliot Lake,CA,2021-07-17 21:17:09,46.3834,-82.6331,80.69,34,10,4.52
116,Bengkulu,ID,2021-07-17 21:17:09,-3.8004,102.2655,74.59,89,73,3.98
117,Caravelas,BR,2021-07-17 21:17:09,-17.7125,-39.2481,70.88,75,0,6.89
118,Oistins,BB,2021-07-17 21:17:09,13.0667,-59.5333,84.29,74,40,17.27
119,Fairbanks,US,2021-07-17 21:12:12,64.8378,-147.7164,77.59,50,75,9.22
120,Raton,US,2021-07-17 21:17:10,36.9034,-104.4391,86.34,32,1,11.5
121,Igede,NG,2021-07-17 21:17:10,10.0544,5.9416,76.68,78,99,4.52
122,Hidalgotitlan,MX,2021-07-17 21:17:11,17.7833,-94.6333,89.62,61,100,8.39
123,Longyearbyen,SJ,2021-07-17 21:17:11,78.2186,15.6401,48.04,76,75,12.66
124,Port Hardy,CA,2021-07-17 21:15:13,50.6996,-127.4199,62.78,67,75,11.5
125,Havelock,US,2021-07-17 21:17:12,34.8791,-76.9013,89.83,79,40,10.0
126,Ribeira Grande,PT,2021-07-17 21:17:13,38.5167,-28.7,68.85,71,49,11.54
127,San Quintin,MX,2021-07-17 21:17:13,30.4833,-115.95,72.82,71,99,11.12
128,Chuy,UY,2021-07-17 21:17:13,-33.6971,-53.4616,47.57,64,2,11.21
129,Alice Town,BS,2021-07-17 21:17:14,25.7167,-79.3,82.53,71,14,9.98
130,Margate,GB,2021-07-17 21:17:14,51.3813,1.3862,66.04,77,0,6.15
131,Okhotsk,RU,2021-07-17 21:15:31,59.3833,143.3,60.03,81,22,2.82
132,Upington,ZA,2021-07-17 21:17:14,-28.4478,21.2561,46.78,42,0,4.61
133,Kapaa,US,2021-07-17 21:16:21,22.0752,-159.319,82.72,78,75,3.0
134,Amuntai,ID,2021-07-17 21:17:15,-2.4177,115.2494,72.12,98,100,1.57
135,Tsogni,GA,2021-07-17 21:17:15,-2.7942,10.0988,69.58,91,97,4.03
136,Colac,AU,2021-07-17 21:17:15,-38.3333,143.5833,45.84,93,99,6.67
137,Maldonado,UY,2021-07-17 21:17:16,-34.6667,-54.9167,50.23,61,4,17.16
138,Punta Alta,AR,2021-07-17 21:17:16,-38.8759,-62.0736,45.5,80,93,24.4
139,Baykit,RU,2021-07-17 21:15:44,61.67,96.37,57.47,99,100,5.19
140,Talnakh,RU,2021-07-17 21:17:17,69.4865,88.3972,53.55,95,98,4.79
141,Andros Town,BS,2021-07-17 21:17:17,24.7,-77.7667,87.76,62,0,14.63
142,Borogontsy,RU,2021-07-17 21:17:17,62.6683,131.1683,64.81,65,100,8.77
